Label,Price,Nutshell Product ID,Comments,EZCater Name and Customization,EZCater Customization,Old Item Name,Product Text Archive,Subcategory Text Archive,GC Value Text Archive,EZC Menu Item,Product,Subcategory,Gift Card Amount
Smashed Potato Salad - Assorted,$2.99 ,87-products,,,,,,,,Y,,,
Smashed Potato Salad - Tray Packaging,$2.99 ,87-products,,,,,,,,Y,,,
Smashed Potato Salad - Individual Packaging,$2.99 ,87-products,,,,,,,,Y,,,
Fresh Fruit Tray,$54.99 ,31-products,,,,,,,,Y,,,
Fresh Veggie Tray,$54.99 ,139-products,,,,,,,,Y,,,
Chef Salad - Balsamic Vinaigrette,$37.99 ,555-products,,,,,,,,Y,,,
Chef Salad - Ranch Dressing,$37.99 ,555-products,,,,,,,,Y,,,
Chef Salad - Italian Dressing,$37.99 ,555-products,,,,,,,,Y,,,
Chef Salad - Most Popular,$37.99 ,555-products,,,,,,,,Y,,,
Garden Salad,$32.99 ,107-products,,,,,,,,Y,,,
Gluten-Friendly Garden Salad Boxed Lunch - Variety (Ranch & Italian Only),$13.99 ,515-products,,,,,,,,Y,,,
Gluten-Friendly Garden Salad Boxed Lunch - Most Popular,$13.99 ,515-products,,,,,,,,Y,,,
Salad Boxed Lunches - Chef Salad,$11.49 ,535-products,,,,,,,,Y,,,
Orange Juice Carafe,$9.99 ,351-products,,,,,Orange Juice Carafe,,,,Orange Juice Carafe,,
Orange Juice Gallon,$9.99 ,351-products,,Gallon Orange Juice,,,,,,,,,
Coffee Carafe,$19.99 ,39-products,,Coffee Carafe,,,Coffee Carafe,,,,Coffee Carafe,,
Coffee Carafe - Decaf,$19.99 ,39-products,,,,,Coffee Carafe,Decaf,,,Coffee Carafe,Decaf,
Coffee Carafe - Regular,$19.99 ,39-products,,,,,Coffee Carafe,Regular,,,Coffee Carafe,Regular,
Ham Salad,$2.99 ,91-products,,Ham Salad,,,Ham Salad,,,,Ham Salad,,
Chicken Salad,$2.99 ,95-products,,Chicken Salad,,,Chicken Salad,,,,Chicken Salad,,
Chips - Jalapeno,$1.99 ,159-products,,,,,Chips,Jalapeno,,,Chips,Jalapeno,
Chips - BBQ,$1.99 ,159-products,,,,,Chips,BBQ,,,Chips,BBQ,
Chips - Sweet Maui Onion,$1.99 ,159-products,,,,,Chips,Sweet Maui Onion,,,Chips,Sweet Maui Onion,
Chips - Sea Salt,$1.99 ,159-products,,,,,Chips,Sea Salt,,,Chips,Sea Salt,
